"Employee ID","Gender","Job Level after FY20 promotions","New hire FY20?","FY20 Performance Rating","Promotion in FY21?","In base group for Promotion FY21","Target hire balance","FY20 leaver?","In base group for turnover FY20","Department @01.07.2020","Leaver FY","Job Level after FY21 promotions","Last Department in FY20","FTE group","Time type","Department & JL group PRA status","Department & JL group for PRA","Job Level group PRA status","Job Level group for PRA","Time in Job Level @01.07.2020","Job Level before FY20 promotions","Promotion in FY20?","FY19 Performance Rating","Age group","Age @01.07.2020","Nationality 1","Region group: nationality 1","Broad region group: nationality 1","Last hire date","Years since last hire","Rand"
"1","Male","6 - Junior Officer","N","2","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","3","6 - Junior Officer","N","3","30 to 39","37","Spain","Europe","Europe","4/1/2017","3","0.1808401"
"2","Female","4 - Manager","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","3","4 - Manager","N","","30 to 39","37","Germany","Europe","Europe","4/1/2017","3","0.2312846"
"3","Male","2 - Director","N","2","No","Yes","0.50","No","Y","Strategy","","2 - Director","Strategy","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Strategy","Uneven - Men benefit","2 - Director","3","2 - Director","N","3","30 to 39","35","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.4561003"
"4","Male","4 - Manager","N","3","No","Yes","0.50","No","Y","HR","","4 - Manager","HR","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & HR","Age @01.07.2020","4 - Manager","3","4 - Manager","N","3","30 to 39","32","Germany","Europe","Europe","4/1/2012","8","0.9689605"
"5","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","28","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.2321759"
"6","Female","4 - Manager","Y","","No","No","0.50","No","N","Internal Services","","4 - Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Internal Services","Age @01.07.2020","4 - Manager","0","","N","","40 to 49","42","Italy","Europe","Europe","4/1/2020","0","0.8097614"
"7","Male","3 - Senior Manager","Y","","No","No","0.50","No","N","Operations","","3 - Senior Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Operations","Age @01.07.2020","3 - Senior Manager","0","","N","","30 to 39","35","Italy","Europe","Europe","4/1/2020","0","0.8923558"
"8","Female","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","HR","","5 - Senior Officer","HR","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & HR","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","3","30 to 39","34","Switzerland","Switzerland","Switzerland","4/1/2013","7","0.9143979"
"9","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","26","United States","Americas","Elsewhere","4/1/2019","1","0.1657726"
"10","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Internal Services","","6 - Junior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","24","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.4412298"
"11","Male","4 - Manager","N","3","No","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","2","4 - Manager","N","2","30 to 39","34","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.1171941"
"12","Female","6 - Junior Officer","N","2","Yes","Yes","0.50","No","Y","Strategy","","5 - Senior Officer","Strategy","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Strategy","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","30 to 39","34","France","Europe","Europe","4/1/2017","3","0.6480455"
"13","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","3","20 to 29","29","Germany","Europe","Europe","4/1/2015","5","0.2966017"
"14","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","2","20 to 29","20","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.1140369"
"15","Male","6 - Junior Officer","N","3","No","No","0.50","Yes","Y","Internal Services","FY20","","Internal Services","Full Time","Full Time","","","","","1","6 - Junior Officer","N","","20 to 29","28","France","Europe","Europe","4/1/2019","1","0.2539027"
"16","Male","4 - Manager","N","3","No","Yes","0.50","No","Y","Strategy","","4 - Manager","Strategy","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Strategy","Age @01.07.2020","4 - Manager","3","4 - Manager","N","3","30 to 39","34","Germany","Europe","Europe","4/1/2015","5","0.6253981"
"17","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","4","20 to 29","24","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.2508429"
"18","Female","6 - Junior Officer","N","2","Yes","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","80%","Part Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","4","6 - Junior Officer","N","3","30 to 39","32","Italy","Europe","Europe","4/1/2016","4","0.8503843"
"19","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","","30 to 39","30","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.3778548"
"20","Female","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","1","#REF!","Y","1","30 to 39","32","Germany","Europe","Europe","4/1/2012","8","0.9921593"
"21","Male","3 - Senior Manager","N","3","No","No","0.50","Yes","Y","Strategy","FY20","","Strategy","Full Time","Full Time","","","","","7","3 - Senior Manager","N","3","30 to 39","31","Switzerland","Switzerland","Switzerland","4/1/2013","7","0.0453245"
"22","Male","6 - Junior Officer","N","3","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","3","6 - Junior Officer","N","3","20 to 29","26","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.4118982"
"23","Male","2 - Director","N","3","No","Yes","0.50","No","Y","Internal Services","","2 - Director","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Internal Services","Uneven - Men benefit","2 - Director","5","2 - Director","N","","40 to 49","44","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.0329906"
"24","Male","5 - Senior Officer","N","4","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","3","20 to 29","26","United Kingdom","Europe","Europe","4/1/2014","6","0.3807742"
"25","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","3","4 - Manager","N","3","30 to 39","36","France","Europe","Europe","4/1/2014","6","0.8969069"
"26","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Internal Services","","6 - Junior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.3262445"
"27","Female","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Internal Services","","5 - Senior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Internal Services","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","2","30 to 39","33","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.4201566"
"28","Male","5 - Senior Officer","N","4","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","2","5 - Senior Officer","N","2","20 to 29","27","Italy","Europe","Europe","4/1/2016","4","0.1535565"
"29","Female","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Finance","","5 - Senior Officer","Finance","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Finance","Age @01.07.2020","5 - Senior Officer","2","5 - Senior Officer","N","3","30 to 39","32","Italy","Europe","Europe","4/1/2016","4","0.7993572"
"30","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.8301813"
"31","Female","6 - Junior Officer","N","2","Yes","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","2","30 to 39","33","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.0915872"
"32","Male","4 - Manager","N","1","Yes","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","2","4 - Manager","N","2","30 to 39","30","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.5077117"
"33","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","1","#REF!","Y","1","30 to 39","33","Germany","Europe","Europe","4/1/2014","6","0.7820654"
"34","Female","5 - Senior Officer","N","1","Yes","Yes","0.50","No","Y","Internal Services","","4 - Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Internal Services","Age @01.07.2020","5 - Senior Officer","5","5 - Senior Officer","N","2","30 to 39","37","Switzerland","Switzerland","Switzerland","4/1/2014","6","0.0718556"
"35","Male","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Internal Services","","5 - Senior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Internal Services","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","","20 to 29","27","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.8764183"
